,0
0,other key players
1,feeding them
2,cuban harms
3,space ring
4,deaths
5,inevitable
6,good measure
7,food-source
8,activists
9,nature
10,national title
11,fisa
12,achievement
13,on or off menus
14,greenhouse gases
15,ticking time bomb
16,vocations
17,users
18,dropouts
19,ecology
20,treatment
21,planet
22,death toll
23,individual
24,learning
25,emissions/global warming
26,status quo
27,history of sovereignty
28,child
29,ostracizing hunters
30,environmental effects
31,alternatives
32,insurgency fight
33,changing behavior
34,china/india outsourcing
35,slippery slope
36,essential goods
37,loose housing
38,effectivity
39,values
40,choice issues
41,impact
42,general solvency
43,stemming immigration
44,technology
45,college
46,Other candidates
47,development
48,maturity
49,part of game
50,crops
51,water-use
52,family
53,growth
54,efficacy
55,pro/con sources
56,psychology
57,exploitation
58,mutual attraction
59,generations
60,nuclear fallout
61,hydrogen
62,conventional bombs
63,champs
64,nuclear
65,birds
66,marriage/family
67,fishing
68,analogous services
69,pressure
70,on campus
71,false dichotomy
72,updates
73,priority/inevitable
74,odor
75,innate problems
76,reducing emissions
77,other impacts
78,energy
79,decentralized journalism
80,leaders
81,national role
82,production
83,social
84,non-treatment
85,space heating
86,kosovo viability
87,planning
88,earned
89,specialization
90,personality traits
91,location
92,celebrities
93,stable country
94,timing
95,relationships
96,recruits
97,network owners
98,personality
99,emergency contact
100,management
101,model principles
102,precedent
103,endangered
104,systemic bias
105,in the world
106,stability
107,false accusation
108,abstinence message
109,recognition
110,deserving
111,employees
112,interests
113,classes
114,abandoned claims
115,proportionality
116,workers
117,migrants
118,sentient beings
119,functionality
120,righting past wrongs
121,self-determination
122,impact on children
123,tactics
124,separation of powers
125,us interests
126,legitimacy
127,batteries
128,accomplishments
129,robots
130,reciprocity
131,car insurance
132,independance
133,measuring merit
134,waste
135,prolonged isolation
136,energy crunch
137,deficit
138,capital flight
139,weak states
140,notice
141,unilateralism
142,until marriage
143,sun
144,parenting
145,self-improvement
146,families
147,hutches
148,other solutions
149,special interests
150,proliferation
151,others
152,israeli society
153,imf
154,global integration
155,value
156,animal benefits
157,argentinian independence
158,assoc
159,natural disasters
160,vital interests
161,reproduction
162,agreement
163,containing growth
164,life lessons
165,as fuel
166,vows
167,value of education
168,effectiveness of ban
169,colleges/applicants
170,stereotypes vs. reality
171,reputation
172,database
173,time
174,popular demands
175,citizen decisions
176,feasibility of change
177,weighty statements
178,concentration
179,barrages
180,teachers
181,motivations
182,sulfur dioxide
183,intelligence sources
184,hypocrisy
185,youth participation
186,habitat
187,non-corn ethanol
188,instant-replay ump
189,companies
190,exposure
191,scripted shows
192,standards
193,disadvantaged
194,activist organizations
195,eugenics
196,chinese governance
197,performance
198,tibet
199,empowering women
200,growing government
201,commitment
202,double standard
203,ambiguity
204,pregnancy
205,sex education issues
206,public insurance
207,intelligence
208,capitalism
209,efficiency
210,interests of living victims
211,merit
212,socializing
213,infrastructure
214,carrying papers
215,children
216,interference
217,emissions
218,incumbency
219,corporations
220,public service
221,assisting quiting
222,arbitration
223,tang dynasty (618-907)
224,size
225,obligatory
226,state interests
227,small states
228,geography
229,commitment
230,innovation
231,consumption/taste
232,incumbent
233,maintenance
234,individual effects
235,in us history
236,air-quality
237,family size
238,pragmatism
239,chinese response
240,footprint
241,citizenship
242,space exploration
243,activism
244,expanded membership
245,interest groups
246,eu opinion
247,cosmetics
248,university administrators
249,affecting protection choices
250,silent mode
251,powers
252,products
253,starting point
254,last resort
255,claims
256,information
257,strategic value
258,advertisements
