,0,,,,,,,
0,other key players,,,,,,,"changed, change in next column"
1,vs. hybrids,,Non-frame,,,,,
2,feeding them,,,,,,,removed
3,cuban harms,,,,,,,
4,vs. alternatives,,Non-frame,,,,,
5,us-arguments,,"us-specific, removing us leads to non-frame",,,,,
6,space ring,,,,,,,
7,deaths,,,,,,,
8,inevitable,,,,,,,
9,saddam hussein,,Political?,,,,,
10,good measure,,,,,,,
11,food-source,,,,,,,
12,activists,,,,,,,
13,nature,,,,,,,
14,national title,,,,,,,
15,fisa,,,,,,,
16,achievement,,,,,,,
17,on or off menus,,,,,,,
18,greenhouse gases,,,,,,,
19,ticking time bomb,,,,,,,
20,vocations,,,,,,,
21,users,,,,,,,
22,hugo chavez,,Political?,,,,,
23,dropouts,,,,,,,
24,ecology,,,,,,,
25,treatment,,,,,,,
26,planet,,,,,,,
27,united states,,country (non frame),,,,,
28,death toll,,,,,,,
29,individual,,,,,,,
30,learning,,,,,,,
31,emissions/global warming,,,,,,,
32,status quo,,,,,,,
33,history of sovereignty,,,,,,,
34,child,,,,,,,
35,aborigines,,people (non frame),,,,,
36,ostracizing hunters,,,,,,,
37,environmental effects,,,,,,,
38,alternatives,,,,,,,
39,insurgency fight,,,,,,,
40,changing behavior,,,,,,,
41,iraqis,,people (non frame),,,,,
42,china/india outsourcing,,,,,,,
43,slippery slope,,,,,,,
44,essential goods,,,,,,,
45,loose housing,,,,,,,
46,effectivity,,,,,,,
47,values,,,,,,,
48,choice issues,,,,,,,
49,impact,,,,,,,
50,general solvency,,,,,,,
51,stemming immigration,,,,,,,
52,technology,,,,,,,
53,college,,,,,,,
54,vs other candidates,,,Other candidates,,,,
55,development,,,,,,,
56,maturity,,,,,,,
57,part of game,,,,,,,
58,crops,,,,,,,
59,water-use,,,,,,,
60,family,,,,,,,
61,nootka sound convention,,non-frame,,,,,
62,growth,,,,,,,
63,efficacy,,,,,,,
64,pro/con sources,,,,,,,
65,psychology,,,,,,,
66,exploitation,,,,,,,
67,albania,,country (non frame),,,,,
68,china,,country (non frame),,,,,
69,mutual attraction,,,,,,,
70,generations,,,,,,,
71,nuclear fallout,,,,,,,
72,vs. hydrogen,,,hydrogen,,,,
73,conventional bombs,,,,,,,
74,champs,,,,,,,
75,sudan,,country (non frame),,,,,
76,vs. nuclear,,,nuclear,,,,
77,birds,,,,,,,
78,marriage/family,,,,,,,
79,fishing,,,,,,,
80,analogous services,,,,,,,
81,pressure,,,,,,,
82,on campus,,,,,,,
83,false dichotomy,,,,,,,
84,updates,,,,,,,
85,darfur,,region(non frame),,,,,
86,priority/inevitable,,,,,,,
87,odor,,,,,,,
88,arguments,,non frame,,,,,
89,innate problems,,,,,,,
