(webis) Frame,most Fitting media frame
gender equality,Fairness and equality
women's rights,Fairness and equality
hiv/aids,Health and safety
recidivism,Crime and punishment
other key players,
cold war,Security and defense
human rights,"Legality, constitunionality and jurisprudence"
trade blocs,Economic
obama's age,
independence,"Legality, constitutionality and jurisprudence"
abortion,Health and safety
amusement,
death with dignity,
vs. hybrids,
illegitimacy,
feeding them,
tobacco anti-adverts,
cultural and religious doctrines,
international law and realities,External regulation and reputation
utility in war,External regulation and reputation
cuban harms,
us security,Security and defense:
fairness and equality,Fairness and equality
vs. alternatives,
gender,Cultural identity
us-arguments,
space ring,
deaths,
public image,Public opinion
god's existence,Morality
inevitable,
pr,Public opinion
international relations,External regulation and reputation
saddam hussein,
adult jurisdiction for juveniles,Policy prescription and evaluation
torture,Crime and punishment
good measure,
food-source,
stereotypes,Cultural identity
activists,
nature,
fairness,Fairness and equality
national title,
space shield,
conviction,
fisa,
rights,"Legality, constitutionality and jurisprudence"
us government,"Legality, constitutionality and jurisprudence"
national will,Public opinion
achievement,
american opinion,Public opinion
dollar utility,Economic
friendships,
tourism and recreation,
on or off menus,
diversity,Cultural identity
greenhouse gases,
ticking time bomb,
vocations,
physicians,Health and Safety
users,
hugo chavez,
nonproliferation,External regulation and reputation
us constitution,"Legality, constitutionality and jurisprudence"
impact on wars,
dropouts,
ecology,
treatment,
peace process,
tradition,Cultural identity
"political ""leveler""",Political
planet,
public good,Quality of life
united states,
death toll,
taxing drugs,Economic
development aid,
individual,
learning,
regional impact,Policy prescription and evaluation
australian identity,Cultural identity
investment sources,Capacity and resources
pricing,Economic
emissions/global warming,
fairness to producers,Fairness and equality
trade,Economic
jobs for children,Economic
status quo,
history of sovereignty,
classified information,
child,
aborigines,
representation,Fairness and equality
ostracizing hunters,
environmental effects,
personal wealth,
alternatives,
insurgency fight,
changing behavior,
farm-culture,Cultural identity
iraqis,
increasing incest,Health and safety
potency,
china/india outsourcing,
slippery slope,
essential goods,
loose housing,
effectivity,
values,
taxpayers,Economic
choice issues,
impact,
general solvency,
terrorism,Security and defense
religious speech,
economics overall,Economic
free speech and ideas,"Legality, constitutionality and jurisprudence"
rehabilitation,
stemming immigration,
medicare precedent,
resources,Capacity and resources
technology,
college,
vs other candidates,
manned mission,Security and defense
development,
international viewpoint,
maturity,
protecting troops,Security and defense
stds,Health and safety
saving lives,
fighting drug use,Health and safety
resource drain,Capacity and resources
"abuse, disabled",
accidents,Health and safety
first amendment,
ending pain,Quality of life
part of game,
general public,Public opinion
crops,
water-use,
family,
democracy,Public opinion
transparency,
nootka sound convention,
general welfare,Quality of life
opportunities,Quality of life
liberty/ownership,"Legality, constitutionality and jurisprudence"
growth,
efficacy,
russian tolerance,
pro/con sources,
the law and ambiguity,"Legality, constitutionality and jurisprudence"
psychology,
economic model,Economic
exploitation,
albania,
china,
mutual attraction,
security,Security and defense
generations,
global economy,Economic
nuclear fallout,
community,Cultural identity:
vs. hydrogen,
conventional bombs,
government,"Legality, constitutionality and jurisprudence"
infant industry,
champs,
sudan,
discrimination,Fairness and equality
danger to humans,Health and safety
vs. nuclear,
crime,Crime and punishment
birds,
marriage/family,
land-use,
fishing,
subsidies,Economic
vs free trade,Economic
analogous services,
pressure,
on campus,
false dichotomy,
wages,
offenders,Crime and punishment
tax cuts,Economic
national identity,Cultural identity
updates,
commercial,Economic
darfur,
priority/inevitable,
odor,
arguments,
innate problems,
reducing emissions,
serving justice,Crime and punishment
cutting off internet,
international,External regulation and reputation
defining marriage,
other impacts,
human health,Health and safety
energy,
decentralized journalism,
un mission,External regulation and reputation
leaders,
vs. national role,
abundance/availability,Capacity and resources
women,
genetic modifications,
society,Cultural identity
rights and privelages,"Legality, constitutionality and jurisprudence"
us law,"Legality, constitutionality and jurisprudence"
illegal immigration,"Legality, constitutionality and jurisprudence"
voter fraud,"Legality, constitutionality and jurisprudence"
food security,Health and safety
right to suicide,"Legality, constitutionality and jurisprudence"
finances,Economic
judgment,
government trading,Economic
production,
consumer confidence,Public opinion
social,
"vs. ""non-treatment""",
space heating,
kosovo viability,
planning,
earned,
specialization,
female preferences,
inflated prices,Economic
benefits,
effect on companies,
personality traits,
location,
humanitarian,
celebrities,
the european central bank,
individual vs. collective,
geopolitics,
vacation,
justice,Crime and punishment
eu foreign minister,
fighting drug trafficking,Crime and punishment
stable country,
economics/innovation,Economic
timing,
relationships,
recruits,
network owners,
other states,
obama's race,
seignorage,
safety vs. liberty,Health and safety
intellectual property,
personality,
emergency contact,
management,
model principles,
iraq,
precedent,
global free trade,External regulation and reputation
endangered,
systemic bias,
energy needs,
infertility,
in the world,
home economies,
market prices,Economic
eu member states,
politics: the various political arguments involved,Politics
stability,
false accusation,
regime change,
addiction,
abstinence message,
redistribution,
recognition,
deserving,
paying for it,
sleep deprivation,
feasibility and availability,Capacity and resources
violence,
darting/euthanasia,
religious freedoms,Morality
gender inequality,Fairness and equality
employees,
interests,
adult health,Health and safety
egypt,
classes,
homosexuals,
ideology,Policy prescription and evaluation
abandoned claims,
proportionality,
workers,
secularism,
migrants,
argument 2,
sentient beings,
functionality,
palliative care alternative,Quality of life
candidate intimidation,Political
policing procedures,Policy prescription and evaluation
righting past wrongs,
self-determination,
impact on children,
democratic support,Public opinion
moral trade-offs,Morality
moral hazard,Morality
tactics,
us image,Public opinion
power and corruption,
separation of powers,
us interests,
state costs,
legitimacy,
getting to marriage,
deportation,
batteries,
accomplishments,
woman's rights,
medical issues,Health and safety
robots,
poverty,Quality of life
reciprocity,
miscellaneous pro and con arguments,
car insurance,
vs. independence,
measuring merit,
waste,
prolonged isolation,
socialized medicine,
energy crunch,
wallstreet,
revenue,Economic
mandatory restorative justice,
deficit,
capital flight,
american public opinion,Public opinion
weak states,
fighting terrorism,Security and defense
oil dependencies,
us business,Economic
notice,
unilateralism,
until marriage,
eu institutions,
sun,
parenting,
thought,
self-improvement,
families,
hutches,
other solutions,
us leaders,
poland,
crime/gangs,Crime and punishment
special interests,
race/gender analogies,
proliferation,
others,
homosexuality analogy,
education,Quality of life
israeli society,
vs imf,
foreign oil,External regulation and reputation
global integration,
taxation powers,Economic
value,
legal liability,"Legality, constitutionality and jurisprudence"
animal benefits,
economics/feasibility,Economic
argentinian independence,
parental rights,"Legality, constitutionality and jurisprudence:"
assoc,
natural disasters,
vital interests,
reproduction,
agreement,
improving cluster bombs,
congress,
containing growth,
life lessons,
as fuel,
s. ossetia independence,
vows,
jurisdiction,"Legality, constitutionality and jurisprudence:"
nato missions,External regulation and reputation
value of education,
morals,Morality
effectiveness of ban,
chinese interests,
colleges/applicants,
regulations/abuse,Policy prescription and evaluation
stereotypes vs. reality,
reputation,
drug cartels,Crime and punishment
database,
time,
nato functions,
"defining ""denial""",
popular demands,
shifting crime,Crime and punishment
virtues,
modern society,
economic efficiencies,Economic
liberty,"Legality, constitutionality and jurisprudence"
markets,Economic
same-party candidates,Politics
citizen decisions,
happiness,
un budget issues,
pricing and costs,Economic
feasibility of change,
military aid,Security and defense
arms reduction,
crime/violence,Crime and punishment
weighty statements,
female empowerment,Fairness and equality
concentration,
mail-in re-vote,
protecting women,Fairness and equality
barages,
designer babies,
religious liberty,Morality
teachers,
human dignity,
motivations,
legislative process,
sulfur dioxide,
intelligence sources,
judicial overload,
hypocrisy,
youth participation,
