Specific frame,Nils annotation,Thijs annotation,IS EQUAL
other key players,,,TRUE
vs. hybrids,,,TRUE
feeding them,,,TRUE
cuban harms,,,TRUE
vs. alternatives,,,TRUE
us-arguments,,,TRUE
space ring,,,TRUE
deaths,,,TRUE
inevitable,,,TRUE
saddam hussein,,,TRUE
good measure,,,TRUE
food-source,,,TRUE
activists,,,TRUE
nature,,,TRUE
national title,,,TRUE
fisa,,,TRUE
achievement,,,TRUE
on or off menus,,,TRUE
greenhouse gases,,,TRUE
ticking time bomb,,,TRUE
vocations,,,TRUE
users,,,TRUE
hugo chavez,,,TRUE
dropouts,,,TRUE
ecology,,,TRUE
treatment,,,TRUE
planet,,,TRUE
united states,,,TRUE
death toll,,,TRUE
individual,,,TRUE
learning,,,TRUE
emissions/global warming,,,TRUE
status quo,,,TRUE
history of sovereignty,,,TRUE
child,,,TRUE
aborigines,,,TRUE
ostracizing hunters,,,TRUE
environmental effects,,,TRUE
alternatives,,,TRUE
insurgency fight,,,TRUE
changing behavior,,,TRUE
iraqis,,,TRUE
china/india outsourcing,,,TRUE
slippery slope,,,TRUE
essential goods,,,TRUE
loose housing,,,TRUE
effectivity,,,TRUE
values,,,TRUE
choice issues,,,TRUE
impact,,,TRUE
general solvency,,,TRUE
stemming immigration,,,TRUE
technology,,,TRUE
college,,,TRUE
vs other candidates,,,TRUE
development,,,TRUE
maturity,,,TRUE
part of game,,,TRUE
crops,,,TRUE
water-use,,,TRUE
family,,,TRUE
nootka sound convention,,,TRUE
growth,,,TRUE
efficacy,,,TRUE
pro/con sources,,,TRUE
psychology,,,TRUE
exploitation,,,TRUE
albania,,,TRUE
china,,,TRUE
mutual attraction,,,TRUE
generations,,,TRUE
nuclear fallout,,,TRUE
vs. hydrogen,,,TRUE
conventional bombs,,,TRUE
champs,,,TRUE
sudan,,,TRUE
vs. nuclear,,,TRUE
birds,,,TRUE
marriage/family,,,TRUE
fishing,,,TRUE
analogous services,,,TRUE
pressure,,,TRUE
on campus,,,TRUE
false dichotomy,,,TRUE
updates,,,TRUE
darfur,,,TRUE
priority/inevitable,,,TRUE
odor,,,TRUE
arguments,,,TRUE
innate problems,,,TRUE
reducing emissions,,,TRUE
other impacts,,,TRUE
energy,,,TRUE
decentralized journalism,,,TRUE
leaders,,,TRUE
vs. national role,,,TRUE
women,,,TRUE
production,,,TRUE
social,,,TRUE
"vs. ""non-treatment""",,,TRUE
space heating,,,TRUE
kosovo viability,,,TRUE
planning,,,TRUE
earned,,,TRUE
specialization,,,TRUE
effect on companies,,,TRUE
personality traits,,,TRUE
location,,,TRUE
celebrities,,,TRUE
stable country,,,TRUE
timing,,,TRUE
relationships,,,TRUE
recruits,,,TRUE
network owners,,,TRUE
personality,,,TRUE
emergency contact,,,TRUE
management,,,TRUE
model principles,,,TRUE
iraq,,,TRUE
precedent,,,TRUE
endangered,,,TRUE
systemic bias,,,TRUE
in the world,,,TRUE
stability,,,TRUE
false accusation,,,TRUE
abstinence message,,,TRUE
recognition,,,TRUE
deserving,,,TRUE
employees,,,TRUE
interests,,,TRUE
egypt,,,TRUE
classes,,,TRUE
abandoned claims,,,TRUE
proportionality,,,TRUE
workers,,,TRUE
migrants,,,TRUE
argument 2,,,TRUE
sentient beings,,,TRUE
functionality,,,TRUE
righting past wrongs,,,TRUE
self-determination,,,TRUE
impact on children,,,TRUE
tactics,,,TRUE
separation of powers,,,TRUE
us interests,,,TRUE
legitimacy,,,TRUE
batteries,,,TRUE
accomplishments,,,TRUE
robots,,,TRUE
reciprocity,,,TRUE
miscellaneous pro and con arguments,,,TRUE
car insurance,,,TRUE
vs. independence,,,TRUE
measuring merit,,,TRUE
waste,,,TRUE
