,Cluster,Frames
0,"('Cluster', 0)","['motivations', 'symbol', 'symbolism', 'theory', 'effects', 'inspiration', 'aesthetics']"
1,"('Cluster', 1)","['good measure', 'status quo', 'decentralized journalism', 'stable country', 'stability', 'abstinence message', 'self-improvement', 'pragmatism', 'state consistency', 'humanity', 'support', 'decency', 'natural', 'hands-free phones', 'general humaneness', 'regional stability', 'pristine environment?', 'confidence', 'inclusiveness', 'moderation', 'averting crises', 'innocents', 'compassion', 'weather resistance', 'respecting victims', 'safeguards', 'consistency', 'humaneness', 'prevention', 'justice/desert', 'simplicity']"
2,"('Cluster', 2)","['network owners', 'professional networking']"
3,"('Cluster', 3)","['employees', 'workers', 'contract', 'employers', 'guest workers', 'work environment', 'unions', 'sectoral standards', 'cooperatives', 'civil unions', 'employer mandate', ""worker's rights"", 'dmv employees', 'social contract']"
4,"('Cluster', 4)","['vocations', 'general solvency', 'usage', 'general access', 'general', 'general election', 'access', 'local use', 'cap', 'us-specific']"
5,"('Cluster', 5)","['dropouts', 'loose housing', 'non-treatment', 'fresh faces vs. amateurs', 'non-participation', 'dc non-state', 'uninsured', 'locals', 'non-experts']"
6,"('Cluster', 6)","['model principles', 'proportionality', 'citizen decisions', 'eugenics', 'affirmative action', 'democratic process', 'democratic agenda', 'disarmament', 'islamic democracy', 'direct democracy', 'bi-partisanship', 'social/democratic', 'bih democracy', 'dayton accords']"
7,"('Cluster', 7)","['on or off menus', 'consumption/taste', 'products', 'advertisements', 'traffic', 'the consumer', 'consumption', 'during recession', 'Alcohol', 'consumer pressure', 'responsible marketplace', 'consumers', 'needing the money', 'consumption levels']"
8,"('Cluster', 8)","['fishing', 'fisheries', 'effect on wild fish', 'ocean ecosystems', 'marine ecosystems', 'surfers', 'algae biofuels', 'marine wildlife', 'japanese whaling']"
9,"('Cluster', 9)","['deficit', 'disadvantaged', 'needy']"
10,"('Cluster', 10)","['slippery slope', 'impact', 'pressure', 'endangered', 'ambiguity', 'interference', 'affecting protection choices', 'serious problem', 'risks', 'problem', 'consequences', 'red tides', 'impact on violence', 'need', 'backlash', 'at risk', 'unique harms', 'noise', 'pain', 'delays', 'physical damage', 'rebelliousness', 'harm', 'bodily strain', 'controversies']"
11,"('Cluster', 11)","['ticking time bomb', 'nuclear fallout', 'nuclear', 'radiation']"
12,"('Cluster', 12)","['abortions and abandonment', 'adultery']"
13,"('Cluster', 13)","['climate change', 'global warming crisis', 'global warming', 'warming trend']"
14,"('Cluster', 14)","['measuring merit', 'assoc', 'merit', 'chechen sovereignty', 'clone', 'music as art', 'meritocracy', 'establishment clause']"
